FIPS,County or equivalent,State or equivalent
5017,CHICOT COUNTY,ARKANSAS
5019,CLARK COUNTY,ARKANSAS
5021,CLAY COUNTY,ARKANSAS
5023,CLEBURNE COUNTY,ARKANSAS
5025,CLEVELAND COUNTY,ARKANSAS
5027,COLUMBIA COUNTY,ARKANSAS
5029,CONWAY COUNTY,ARKANSAS
5031,CRAIGHEAD COUNTY,ARKANSAS
5033,CRAWFORD COUNTY,ARKANSAS
5035,CRITTENDEN COUNTY,ARKANSAS
5037,CROSS COUNTY,ARKANSAS
5039,DALLAS COUNTY,ARKANSAS
5041,DESHA COUNTY,ARKANSAS
5043,DREW COUNTY,ARKANSAS
5045,FAULKNER COUNTY,ARKANSAS
5047,FRANKLIN COUNTY,ARKANSAS
5049,FULTON COUNTY,ARKANSAS
5051,GARLAND COUNTY,ARKANSAS
5053,GRANT COUNTY,ARKANSAS
5055,GREENE COUNTY,ARKANSAS
5057,HEMPSTEAD COUNTY,ARKANSAS
5059,HOT SPRING COUNTY,ARKANSAS
5061,HOWARD COUNTY,ARKANSAS
5063,INDEPENDENCE COUNTY,ARKANSAS
5065,IZARD COUNTY,ARKANSAS
5067,JACKSON COUNTY,ARKANSAS
5069,JEFFERSON COUNTY,ARKANSAS
5071,JOHNSON COUNTY,ARKANSAS
5073,LAFAYETTE COUNTY,ARKANSAS
5075,LAWRENCE COUNTY,ARKANSAS
5077,LEE COUNTY,ARKANSAS
5079,LINCOLN COUNTY,ARKANSAS
5081,LITTLE RIVER COUNTY,ARKANSAS
5083,LOGAN COUNTY,ARKANSAS
5085,LONOKE COUNTY,ARKANSAS
5087,MADISON COUNTY,ARKANSAS
5089,MARION COUNTY,ARKANSAS
5091,MILLER COUNTY,ARKANSAS
5093,MISSISSIPPI COUNTY,ARKANSAS
5095,MONROE COUNTY,ARKANSAS
5097,MONTGOMERY COUNTY,ARKANSAS
5099,NEVADA COUNTY,ARKANSAS
5101,NEWTON COUNTY,ARKANSAS
5103,OUACHITA COUNTY,ARKANSAS
5105,PERRY COUNTY,ARKANSAS
5107,PHILLIPS COUNTY,ARKANSAS
5109,PIKE COUNTY,ARKANSAS
5111,POINSETT COUNTY,ARKANSAS
5113,POLK COUNTY,ARKANSAS
5115,POPE COUNTY,ARKANSAS
5117,PRAIRIE COUNTY,ARKANSAS
5119,PULASKI COUNTY,ARKANSAS
5121,RANDOLPH COUNTY,ARKANSAS
5123,SAINT FRANCIS COUNTY,ARKANSAS
5125,SALINE COUNTY,ARKANSAS
5127,SCOTT COUNTY,ARKANSAS
5129,SEARCY COUNTY,ARKANSAS
5131,SEBASTIAN COUNTY,ARKANSAS
5133,SEVIER COUNTY,ARKANSAS
5135,SHARP COUNTY,ARKANSAS
5137,STONE COUNTY,ARKANSAS
5139,UNION COUNTY,ARKANSAS
5141,VAN BUREN COUNTY,ARKANSAS
5143,WASHINGTON COUNTY,ARKANSAS
5145,WHITE COUNTY,ARKANSAS
5147,WOODRUFF COUNTY,ARKANSAS
5149,YELL COUNTY,ARKANSAS
6001,ALAMEDA COUNTY,CALIFORNIA
6003,ALPINE COUNTY,CALIFORNIA
6005,AMADOR COUNTY,CALIFORNIA
6007,BUTTE COUNTY,CALIFORNIA
6009,CALAVERAS COUNTY,CALIFORNIA
6011,COLUSA COUNTY,CALIFORNIA
6013,CONTRA COSTA COUNTY,CALIFORNIA
6015,DEL NORTE COUNTY,CALIFORNIA
6017,EL DORADO COUNTY,CALIFORNIA
6019,FRESNO COUNTY,CALIFORNIA
6021,GLENN COUNTY,CALIFORNIA
6023,HUMBOLDT COUNTY,CALIFORNIA
6025,IMPERIAL COUNTY,CALIFORNIA
6027,INYO COUNTY,CALIFORNIA
6029,KERN COUNTY,CALIFORNIA
6031,KINGS COUNTY,CALIFORNIA
6033,LAKE COUNTY,CALIFORNIA
6035,LASSEN COUNTY,CALIFORNIA
6037,LOS ANGELES COUNTY,CALIFORNIA
6039,MADERA COUNTY,CALIFORNIA
6041,MARIN COUNTY,CALIFORNIA
6043,MARIPOSA COUNTY,CALIFORNIA
6045,MENDOCINO COUNTY,CALIFORNIA
6047,MERCED COUNTY,CALIFORNIA
6049,MODOC COUNTY,CALIFORNIA
6051,MONO COUNTY,CALIFORNIA
6053,MONTEREY COUNTY,CALIFORNIA
6055,NAPA COUNTY,CALIFORNIA
6057,NEVADA COUNTY,CALIFORNIA
6059,ORANGE COUNTY,CALIFORNIA
6061,PLACER COUNTY,CALIFORNIA
6063,PLUMAS COUNTY,CALIFORNIA
6065,RIVERSIDE COUNTY,CALIFORNIA
6067,SACRAMENTO COUNTY,CALIFORNIA
6069,SAN BENITO COUNTY,CALIFORNIA
6071,SAN BERNARDINO COUNTY,CALIFORNIA
6073,SAN DIEGO COUNTY,CALIFORNIA
6075,SAN FRANCISCO,CALIFORNIA
6077,SAN JOAQUIN COUNTY,CALIFORNIA
6079,SAN LUIS OBISPO COUNTY,CALIFORNIA
6081,SAN MATEO COUNTY,CALIFORNIA
6083,SANTA BARBARA COUNTY,CALIFORNIA
6085,SANTA CLARA COUNTY,CALIFORNIA
6087,SANTA CRUZ COUNTY,CALIFORNIA
6089,SHASTA COUNTY,CALIFORNIA
6091,SIERRA COUNTY,CALIFORNIA
6093,SISKIYOU COUNTY,CALIFORNIA
6095,SOLANO COUNTY,CALIFORNIA
6097,SONOMA COUNTY,CALIFORNIA
6099,STANISLAUS COUNTY,CALIFORNIA
6101,SUTTER COUNTY,CALIFORNIA
6103,TEHAMA COUNTY,CALIFORNIA
6105,TRINITY COUNTY,CALIFORNIA
6107,TULARE COUNTY,CALIFORNIA
6109,TUOLUMNE COUNTY,CALIFORNIA
6111,VENTURA COUNTY,CALIFORNIA
6113,YOLO COUNTY,CALIFORNIA
6115,YUBA COUNTY,CALIFORNIA
8001,ADAMS COUNTY,COLORADO
8003,ALAMOSA COUNTY,COLORADO
8005,ARAPAHOE COUNTY,COLORADO
8007,ARCHULETA COUNTY,COLORADO
8009,BACA COUNTY,COLORADO
8011,BENT COUNTY,COLORADO
8013,BOULDER COUNTY,COLORADO
8014,BROOMFIELD,COLORADO
8015,CHAFFEE COUNTY,COLORADO
8017,CHEYENNE COUNTY,COLORADO
8019,CLEAR CREEK COUNTY,COLORADO
8021,CONEJOS COUNTY,COLORADO
8023,COSTILLA COUNTY,COLORADO
8025,CROWLEY COUNTY,COLORADO
8027,CUSTER COUNTY,COLORADO
8029,DELTA COUNTY,COLORADO
8031,DENVER,COLORADO
8033,DOLORES COUNTY,COLORADO
8035,DOUGLAS COUNTY,COLORADO
8037,EAGLE COUNTY,COLORADO
8039,ELBERT COUNTY,COLORADO
8041,EL PASO COUNTY,COLORADO
8043,FREMONT COUNTY,COLORADO
8045,GARFIELD COUNTY,COLORADO
8047,GILPIN COUNTY,COLORADO
8049,GRAND COUNTY,COLORADO
8051,GUNNISON COUNTY,COLORADO
8053,HINSDALE COUNTY,COLORADO
8055,HUERFANO COUNTY,COLORADO
8057,JACKSON COUNTY,COLORADO
8059,JEFFERSON COUNTY,COLORADO
8061,KIOWA COUNTY,COLORADO
8063,KIT CARSON COUNTY,COLORADO
8065,LAKE COUNTY,COLORADO
8067,LA PLATA COUNTY,COLORADO
8069,LARIMER COUNTY,COLORADO
8071,LAS ANIMAS COUNTY,COLORADO
8073,LINCOLN COUNTY,COLORADO
8075,LOGAN COUNTY,COLORADO
8077,MESA COUNTY,COLORADO
8079,MINERAL COUNTY,COLORADO
8081,MOFFAT COUNTY,COLORADO
8083,MONTEZUMA COUNTY,COLORADO
8085,MONTROSE COUNTY,COLORADO
8087,MORGAN COUNTY,COLORADO
8089,OTERO COUNTY,COLORADO
8091,OURAY COUNTY,COLORADO
8093,PARK COUNTY,COLORADO
8095,PHILLIPS COUNTY,COLORADO
8097,PITKIN COUNTY,COLORADO
8099,PROWERS COUNTY,COLORADO
8101,PUEBLO COUNTY,COLORADO
8103,RIO BLANCO COUNTY,COLORADO
8105,RIO GRANDE COUNTY,COLORADO
8107,ROUTT COUNTY,COLORADO
8109,SAGUACHE COUNTY,COLORADO
8111,SAN JUAN COUNTY,COLORADO
8113,SAN MIGUEL COUNTY,COLORADO
8115,SEDGWICK COUNTY,COLORADO
8117,SUMMIT COUNTY,COLORADO
8119,TELLER COUNTY,COLORADO
8121,WASHINGTON COUNTY,COLORADO
8123,WELD COUNTY,COLORADO
8125,YUMA COUNTY,COLORADO
9001,FAIRFIELD COUNTY,CONNECTICUT
9003,HARTFORD COUNTY,CONNECTICUT
9005,LITCHFIELD COUNTY,CONNECTICUT
9007,MIDDLESEX COUNTY,CONNECTICUT
9009,NEW HAVEN COUNTY,CONNECTICUT
9011,NEW LONDON COUNTY,CONNECTICUT
9013,TOLLAND COUNTY,CONNECTICUT
9015,WINDHAM COUNTY,CONNECTICUT
10001,KENT COUNTY,DELAWARE
10003,NEW CASTLE COUNTY,DELAWARE
10005,SUSSEX COUNTY,DELAWARE
11001,WASHINGTON,"WASHINGTON, D.C."
12001,ALACHUA COUNTY,FLORIDA
12003,BAKER COUNTY,FLORIDA
12005,BAY COUNTY,FLORIDA
12007,BRADFORD COUNTY,FLORIDA
12009,BREVARD COUNTY,FLORIDA
12011,BROWARD COUNTY,FLORIDA
12013,CALHOUN COUNTY,FLORIDA
12015,CHARLOTTE COUNTY,FLORIDA
12017,CITRUS COUNTY,FLORIDA
12019,CLAY COUNTY,FLORIDA
12021,COLLIER COUNTY,FLORIDA
12023,COLUMBIA COUNTY,FLORIDA
12027,DESOTO COUNTY,FLORIDA
12029,DIXIE COUNTY,FLORIDA
12031,DUVAL COUNTY,FLORIDA
12033,ESCAMBIA COUNTY,FLORIDA
12035,FLAGLER COUNTY,FLORIDA
12037,FRANKLIN COUNTY,FLORIDA
12039,GADSDEN COUNTY,FLORIDA
12041,GILCHRIST COUNTY,FLORIDA
12043,GLADES COUNTY,FLORIDA
12045,GULF COUNTY,FLORIDA
12047,HAMILTON COUNTY,FLORIDA
12049,HARDEE COUNTY,FLORIDA
12051,HENDRY COUNTY,FLORIDA
12053,HERNANDO COUNTY,FLORIDA
12055,HIGHLANDS COUNTY,FLORIDA
12057,HILLSBOROUGH COUNTY,FLORIDA
12059,HOLMES COUNTY,FLORIDA
12061,INDIAN RIVER COUNTY,FLORIDA
12063,JACKSON COUNTY,FLORIDA
12065,JEFFERSON COUNTY,FLORIDA
12067,LAFAYETTE COUNTY,FLORIDA
12069,LAKE COUNTY,FLORIDA
12071,LEE COUNTY,FLORIDA
12073,LEON COUNTY,FLORIDA
12075,LEVY COUNTY,FLORIDA
12077,LIBERTY COUNTY,FLORIDA
12079,MADISON COUNTY,FLORIDA
12081,MANATEE COUNTY,FLORIDA
12083,MARION COUNTY,FLORIDA
12085,MARTIN COUNTY,FLORIDA
12086,MIAMI-DADE COUNTY,FLORIDA
12087,MONROE COUNTY,FLORIDA
12089,NASSAU COUNTY,FLORIDA
12091,OKALOOSA COUNTY,FLORIDA
12093,OKEECHOBEE COUNTY,FLORIDA
12095,ORANGE COUNTY,FLORIDA
12097,OSCEOLA COUNTY,FLORIDA
12099,PALM BEACH COUNTY,FLORIDA
12101,PASCO COUNTY,FLORIDA
12103,PINELLAS COUNTY,FLORIDA
12105,POLK COUNTY,FLORIDA
12107,PUTNAM COUNTY,FLORIDA
12109,SAINT JOHNS COUNTY,FLORIDA
12111,SAINT LUCIE COUNTY,FLORIDA
12113,SANTA ROSA COUNTY,FLORIDA
12115,SARASOTA COUNTY,FLORIDA
12117,SEMINOLE COUNTY,FLORIDA
12119,SUMTER COUNTY,FLORIDA
12121,SUWANNEE COUNTY,FLORIDA
12123,TAYLOR COUNTY,FLORIDA
12125,UNION COUNTY,FLORIDA
12127,VOLUSIA COUNTY,FLORIDA
12129,WAKULLA COUNTY,FLORIDA
12131,WALTON COUNTY,FLORIDA
12133,WASHINGTON COUNTY,FLORIDA
13001,APPLING COUNTY,GEORGIA
13003,ATKINSON COUNTY,GEORGIA
13005,BACON COUNTY,GEORGIA
13007,BAKER COUNTY,GEORGIA
13009,BALDWIN COUNTY,GEORGIA
13011,BANKS COUNTY,GEORGIA
13013,BARROW COUNTY,GEORGIA
13015,BARTOW COUNTY,GEORGIA
13017,BEN HILL COUNTY,GEORGIA
13019,BERRIEN COUNTY,GEORGIA
13021,BIBB COUNTY,GEORGIA
13023,BLECKLEY COUNTY,GEORGIA
13025,BRANTLEY COUNTY,GEORGIA
13027,BROOKS COUNTY,GEORGIA
13029,BRYAN COUNTY,GEORGIA
13031,BULLOCH COUNTY,GEORGIA
13033,BURKE COUNTY,GEORGIA
13035,BUTTS COUNTY,GEORGIA
13037,CALHOUN COUNTY,GEORGIA
13039,CAMDEN COUNTY,GEORGIA
13043,CANDLER COUNTY,GEORGIA
13045,CARROLL COUNTY,GEORGIA
13047,CATOOSA COUNTY,GEORGIA
13049,CHARLTON COUNTY,GEORGIA
13051,CHATHAM COUNTY,GEORGIA
13053,CHATTAHOOCHEE COUNTY,GEORGIA
13055,CHATTOOGA COUNTY,GEORGIA
13057,CHEROKEE COUNTY,GEORGIA
13059,CLARKE COUNTY,GEORGIA
13061,CLAY COUNTY,GEORGIA
13063,CLAYTON COUNTY,GEORGIA
13065,CLINCH COUNTY,GEORGIA
13067,COBB COUNTY,GEORGIA
13069,COFFEE COUNTY,GEORGIA
13071,COLQUITT COUNTY,GEORGIA
13073,COLUMBIA COUNTY,GEORGIA
13075,COOK COUNTY,GEORGIA
13077,COWETA COUNTY,GEORGIA
13079,CRAWFORD COUNTY,GEORGIA
13081,CRISP COUNTY,GEORGIA
13083,DADE COUNTY,GEORGIA
13085,DAWSON COUNTY,GEORGIA
13087,DECATUR COUNTY,GEORGIA
13089,DEKALB COUNTY,GEORGIA
13091,DODGE COUNTY,GEORGIA
13093,DOOLY COUNTY,GEORGIA
13095,DOUGHERTY COUNTY,GEORGIA
13097,DOUGLAS COUNTY,GEORGIA
13099,EARLY COUNTY,GEORGIA
13101,ECHOLS COUNTY,GEORGIA
13103,EFFINGHAM COUNTY,GEORGIA
13105,ELBERT COUNTY,GEORGIA
13107,EMANUEL COUNTY,GEORGIA
13109,EVANS COUNTY,GEORGIA
13111,FANNIN COUNTY,GEORGIA
13113,FAYETTE COUNTY,GEORGIA
13115,FLOYD COUNTY,GEORGIA
13117,FORSYTH COUNTY,GEORGIA
13119,FRANKLIN COUNTY,GEORGIA
13121,FULTON COUNTY,GEORGIA
13123,GILMER COUNTY,GEORGIA
13125,GLASCOCK COUNTY,GEORGIA
13127,GLYNN COUNTY,GEORGIA
13129,GORDON COUNTY,GEORGIA
13131,GRADY COUNTY,GEORGIA
13133,GREENE COUNTY,GEORGIA
13135,GWINNETT COUNTY,GEORGIA
13137,HABERSHAM COUNTY,GEORGIA
13139,HALL COUNTY,GEORGIA
13141,HANCOCK COUNTY,GEORGIA
13143,HARALSON COUNTY,GEORGIA
13145,HARRIS COUNTY,GEORGIA
13147,HART COUNTY,GEORGIA
13149,HEARD COUNTY,GEORGIA
13151,HENRY COUNTY,GEORGIA
13153,HOUSTON COUNTY,GEORGIA
13155,IRWIN COUNTY,GEORGIA
13157,JACKSON COUNTY,GEORGIA
13159,JASPER COUNTY,GEORGIA
13161,JEFF DAVIS COUNTY,GEORGIA
13163,JEFFERSON COUNTY,GEORGIA
13165,JENKINS COUNTY,GEORGIA
13167,JOHNSON COUNTY,GEORGIA
13169,JONES COUNTY,GEORGIA
13171,LAMAR COUNTY,GEORGIA
13173,LANIER COUNTY,GEORGIA
13175,LAURENS COUNTY,GEORGIA
13177,LEE COUNTY,GEORGIA
13179,LIBERTY COUNTY,GEORGIA
13181,LINCOLN COUNTY,GEORGIA
13183,LONG COUNTY,GEORGIA
13185,LOWNDES COUNTY,GEORGIA
13187,LUMPKIN COUNTY,GEORGIA
13189,MCDUFFIE COUNTY,GEORGIA
13191,MCINTOSH COUNTY,GEORGIA
13193,MACON COUNTY,GEORGIA
13195,MADISON COUNTY,GEORGIA
13197,MARION COUNTY,GEORGIA
13199,MERIWETHER COUNTY,GEORGIA
13201,MILLER COUNTY,GEORGIA
13205,MITCHELL COUNTY,GEORGIA
13207,MONROE COUNTY,GEORGIA
13209,MONTGOMERY COUNTY,GEORGIA
13211,MORGAN COUNTY,GEORGIA
13213,MURRAY COUNTY,GEORGIA
13215,MUSCOGEE COUNTY,GEORGIA
13217,NEWTON COUNTY,GEORGIA
13219,OCONEE COUNTY,GEORGIA
13221,OGLETHORPE COUNTY,GEORGIA
13223,PAULDING COUNTY,GEORGIA
13225,PEACH COUNTY,GEORGIA
13227,PICKENS COUNTY,GEORGIA
13229,PIERCE COUNTY,GEORGIA
13231,PIKE COUNTY,GEORGIA
13233,POLK COUNTY,GEORGIA
13235,PULASKI COUNTY,GEORGIA
13237,PUTNAM COUNTY,GEORGIA
13239,QUITMAN COUNTY,GEORGIA
13241,RABUN COUNTY,GEORGIA
13243,RANDOLPH COUNTY,GEORGIA
13245,RICHMOND COUNTY,GEORGIA
13247,ROCKDALE COUNTY,GEORGIA
13249,SCHLEY COUNTY,GEORGIA
13251,SCREVEN COUNTY,GEORGIA
13253,SEMINOLE COUNTY,GEORGIA
13255,SPALDING COUNTY,GEORGIA
13257,STEPHENS COUNTY,GEORGIA
13259,STEWART COUNTY,GEORGIA
13261,SUMTER COUNTY,GEORGIA
13263,TALBOT COUNTY,GEORGIA
13265,TALIAFERRO COUNTY,GEORGIA
13267,TATTNALL COUNTY,GEORGIA
13269,TAYLOR COUNTY,GEORGIA
13271,TELFAIR COUNTY,GEORGIA
13273,TERRELL COUNTY,GEORGIA
13275,THOMAS COUNTY,GEORGIA
13277,TIFT COUNTY,GEORGIA
13279,TOOMBS COUNTY,GEORGIA
13281,TOWNS COUNTY,GEORGIA
13283,TREUTLEN COUNTY,GEORGIA
13285,TROUP COUNTY,GEORGIA
13287,TURNER COUNTY,GEORGIA
13289,TWIGGS COUNTY,GEORGIA
13291,UNION COUNTY,GEORGIA
13293,UPSON COUNTY,GEORGIA
13295,WALKER COUNTY,GEORGIA
13297,WALTON COUNTY,GEORGIA
13299,WARE COUNTY,GEORGIA
13301,WARREN COUNTY,GEORGIA
13303,WASHINGTON COUNTY,GEORGIA
13305,WAYNE COUNTY,GEORGIA
13307,WEBSTER COUNTY,GEORGIA
13309,WHEELER COUNTY,GEORGIA
13311,WHITE COUNTY,GEORGIA
13313,WHITFIELD COUNTY,GEORGIA
13315,WILCOX COUNTY,GEORGIA
13317,WILKES COUNTY,GEORGIA
13319,WILKINSON COUNTY,GEORGIA
13321,WORTH COUNTY,GEORGIA
66010,GUAM,GUAM
15001,HAWAII COUNTY,HAWAIʻI
15003,HONOLULU,HAWAIʻI
15005,KALAWAO COUNTY,HAWAIʻI
15007,KAUAI COUNTY,HAWAIʻI
15009,MAUI COUNTY,HAWAIʻI
16001,ADA COUNTY,IDAHO
16003,ADAMS COUNTY,IDAHO
16005,BANNOCK COUNTY,IDAHO
16007,BEAR LAKE COUNTY,IDAHO
16009,BENEWAH COUNTY,IDAHO
16011,BINGHAM COUNTY,IDAHO
16013,BLAINE COUNTY,IDAHO
16015,BOISE COUNTY,IDAHO
16017,BONNER COUNTY,IDAHO
16019,BONNEVILLE COUNTY,IDAHO
16021,BOUNDARY COUNTY,IDAHO
16023,BUTTE COUNTY,IDAHO
16025,CAMAS COUNTY,IDAHO
16027,CANYON COUNTY,IDAHO
16029,CARIBOU COUNTY,IDAHO
16031,CASSIA COUNTY,IDAHO
16033,CLARK COUNTY,IDAHO
16035,CLEARWATER COUNTY,IDAHO
16037,CUSTER COUNTY,IDAHO
16039,ELMORE COUNTY,IDAHO
16041,FRANKLIN COUNTY,IDAHO
16043,FREMONT COUNTY,IDAHO
16045,GEM COUNTY,IDAHO
16047,GOODING COUNTY,IDAHO
16049,IDAHO COUNTY,IDAHO
16051,JEFFERSON COUNTY,IDAHO
16053,JEROME COUNTY,IDAHO
16055,KOOTENAI COUNTY,IDAHO
16057,LATAH COUNTY,IDAHO
16059,LEMHI COUNTY,IDAHO
16061,LEWIS COUNTY,IDAHO
16063,LINCOLN COUNTY,IDAHO
16065,MADISON COUNTY,IDAHO
16067,MINIDOKA COUNTY,IDAHO
16069,NEZ PERCE COUNTY,IDAHO
16071,ONEIDA COUNTY,IDAHO
16073,OWYHEE COUNTY,IDAHO
16075,PAYETTE COUNTY,IDAHO
16077,POWER COUNTY,IDAHO
16079,SHOSHONE COUNTY,IDAHO
16081,TETON COUNTY,IDAHO
16083,TWIN FALLS COUNTY,IDAHO
16085,VALLEY COUNTY,IDAHO
16087,WASHINGTON COUNTY,IDAHO
17001,ADAMS COUNTY,ILLINOIS
17003,ALEXANDER COUNTY,ILLINOIS
17005,BOND COUNTY,ILLINOIS
17007,BOONE COUNTY,ILLINOIS
17009,BROWN COUNTY,ILLINOIS
17011,BUREAU COUNTY,ILLINOIS
17013,CALHOUN COUNTY,ILLINOIS
17015,CARROLL COUNTY,ILLINOIS
17017,CASS COUNTY,ILLINOIS
17019,CHAMPAIGN COUNTY,ILLINOIS
17021,CHRISTIAN COUNTY,ILLINOIS
17023,CLARK COUNTY,ILLINOIS
17025,CLAY COUNTY,ILLINOIS
17027,CLINTON COUNTY,ILLINOIS
17029,COLES COUNTY,ILLINOIS
17031,COOK COUNTY,ILLINOIS
17033,CRAWFORD COUNTY,ILLINOIS
17035,CUMBERLAND COUNTY,ILLINOIS
17037,DEKALB COUNTY,ILLINOIS
17039,DE WITT COUNTY,ILLINOIS
17041,DOUGLAS COUNTY,ILLINOIS
17043,DUPAGE COUNTY,ILLINOIS
17045,EDGAR COUNTY,ILLINOIS
17047,EDWARDS COUNTY,ILLINOIS
17049,EFFINGHAM COUNTY,ILLINOIS
17051,FAYETTE COUNTY,ILLINOIS
17053,FORD COUNTY,ILLINOIS
17055,FRANKLIN COUNTY,ILLINOIS
17057,FULTON COUNTY,ILLINOIS
17059,GALLATIN COUNTY,ILLINOIS
17061,GREENE COUNTY,ILLINOIS
17063,GRUNDY COUNTY,ILLINOIS
17065,HAMILTON COUNTY,ILLINOIS
17067,HANCOCK COUNTY,ILLINOIS
